ZONE,DISTRICT,SD,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFDU,MFDU,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,TOTACRE,RESACRE,CIACRE,SHPOP62P,TOTEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,AREATYPE,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,ZERO,hhlds,sftaz,gqpop
109,3,3,1,3774,6919,7749,618,12,3762,1996,955,107,716,142.8,25,137,0.18,5731,258,722,3455,2160,1154,460,2004,1514,1187,1,565,74.36462,148.72923,2,0,0,0,3,3.39878,0,3774,109,830
110,3,3,1,753,1381,1546,123,2,751,398,191,21,143,263.89999,8,33,0.18,1590,51,144,690,431,230,128,556,420,329,0,157,0,0,3,0,0,0,3,3.20966,0,753,110,165
111,3,3,1,939,1743,1784,1033,95,844,87,127,205,520,327,10,211,0.1,3715,80,76,986,522,120,308,694,1052,676,9,976,0,0,3,0,0,0,2,1.75765,0,939,111,41
112,3,3,1,1040,2139,2141,1314,313,727,148,210,186,496,67,27,11,0.15,833,95,109,1024,658,255,43,203,389,105,0,93,0,0,3,0,195.85889,35.45019,1,2.8059,0,1040,112,2
113,3,3,1,2485,5703,5708,2972,856,1629,641,456,444,944,186,82,27,0.11,735,549,928,2291,1512,428,34,144,332,139,0,86,0,0,3,0,0,0,1,2.08609,0,2485,113,5
114,3,3,1,1728,3352,3361,2128,611,1117,328,340,357,703,146,48,20,0.16,1035,138,194,1483,1133,413,70,338,453,88,0,86,0,0,3,0,0,0,1,2.39952,0,1728,114,9
115,3,3,1,630,1729,1824,807,148,482,187,112,136,195,74,17,26,0.15,4217,98,246,717,559,204,30,256,3737,145,0,49,0,0,1,0,0,0,1,5.83573,0,630,115,95
116,3,3,1,1961,5321,5370,3107,311,1650,561,388,597,415,142,35,49,0.1,2842,471,846,2435,1239,379,196,521,909,882,0,334,0,0,1,0,0,0,2,3.44754,0,1961,116,49
117,3,3,1,1623,4822,4846,2659,380,1243,478,598,323,224,70,36,9,0.11,375,430,863,2067,1067,419,19,53,228,46,0,29,0,0,1,0,0,0,3,3.1043,0,1623,117,24
118,3,3,1,1494,4893,4926,2903,205,1289,477,406,327,284,62,28,8,0.1,292,453,858,2228,1029,358,22,42,166,45,0,17,0,0,2,0,0,0,3,3.5952,0,1494,118,33
119,3,3,1,850,2706,2777,1514,156,694,256,142,339,113,39,20,4,0.12,330,238,499,1127,647,266,20,22,273,1,0,14,0,0,2,0,0,0,3,3.47453,0,850,119,71
120,3,3,1,1185,3549,3593,2129,314,871,294,254,298,339,78,30,11,0.12,308,304,669,1509,788,323,49,36,181,38,0,4,0,0,2,0,0,0,2,2.72468,0,1185,120,44
121,3,3,1,1280,3044,3112,1872,886,394,304,270,290,416,140,52,12,0.18,578,165,341,1152,1024,430,98,178,85,180,6,31,0,0,3,0,0,0,1,2.12006,0,1280,121,68
122,3,3,1,2142,5212,5428,3364,1218,924,438,469,669,566,160,72,5,0.15,870,364,663,2119,1651,631,56,293,417,85,1,18,0,0,3,0,0,0,1,2.5929,0,2142,122,216
123,3,3,1,1782,4273,4339,2687,604,1178,477,374,545,386,88,37,17,0.15,2182,300,499,1787,1252,501,149,352,1552,99,0,30,0,0,1,0,0,0,1,4.01176,0,1782,123,66
124,3,3,1,1287,3423,3440,2031,727,560,468,310,231,278,94,39,3,0.14,454,245,555,1341,934,365,61,55,273,51,2,12,0,0,3,0,0,0,1,2.76785,0,1287,124,17
125,3,3,1,1069,2936,2942,1825,841,228,257,203,367,242,82,38,3,0.18,274,207,450,957,895,433,12,99,136,22,0,5,0,0,3,0,0,0,1,2.41644,0,1069,125,6
